query_idx,n_docs,spearman_r,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,pointbiserial_r,pointbiserial_p
1,6000,-0.09581256703736507,1.0285907606959663e-13,-0.44883255822243473,2.309418891064155e-295,-0.07817098894547421,1.0451617925870902e-13,0.2416938937665586,1.70580992891193e-80
2,6000,-0.189525272902917,1.2265021221544664e-49,-0.49723943761890393,0.0,-0.1544312741184636,3.6566125292308095e-49,0.15734326315175093,1.4548133352317733e-34
3,6000,-0.09104177586222384,1.6030124561510653e-12,-0.18354149606295195,1.3026666201361649e-46,-0.07367963077375168,1.357136541229271e-12,0.1656319681437599,3.636165522280365e-38
4,6000,-0.08569299358184568,2.9589430710414684e-11,-0.26047105680432364,1.2326592225869796e-93,-0.06944066484296992,2.916864916526569e-11,0.16779583568924994,3.877019033453433e-39
5,6000,-0.21989104500653966,1.317471698392575e-66,-0.4572462683733782,7.272257254302451e-308,-0.17809164687260892,2.3097148971574617e-66,0.10444816184129975,5.019374138302101e-16
6,6000,-0.1076107354919248,6.37719445954665e-17,-0.29146856599005266,8.222339812705557e-118,-0.08679196017487352,5.979952282433421e-17,0.1332540270741078,3.5433513951805616e-25
7,6000,-0.3445884257593704,6.924751497601278e-167,-0.44682357607852885,1.9812170125872981e-292,-0.270829847813295,3.1201502376430367e-161,0.08201148320030432,1.9917290860055814e-10
8,6000,-0.12455884555455704,3.5260808237540106e-22,-0.29338978224105494,2.050292509904131e-119,-0.09930584383559912,2.9020463829330086e-22,0.09320777744436531,4.686567013007041e-13
9,6000,-0.24953763972928397,7.540402425122846e-86,-0.4842949236408767,0.0,-0.20312034081250196,1.7444215737538307e-84,0.1331303960295448,3.9217404256610784e-25
10,6000,-0.21489892597459392,1.2499575457340253e-63,-0.32901811301718364,1.861884305488641e-151,-0.17003920670437067,2.6369740465050767e-63,0.09699521475420728,5.097009568085303e-14
11,6000,-0.09750511182444631,3.7558522922196555e-14,-0.20175277277569093,3.820425296207703e-56,-0.07941025834290309,4.123081529059821e-14,0.26234527435600175,5.222795843151705e-95
12,6000,-0.2180873831326512,1.5995992268086346e-65,-0.42533669409335106,2.9062040576035247e-262,-0.1765842227652655,2.9967686165595748e-65,0.12271674552233072,1.4325608872386966e-21
13,6000,-0.19307866441252358,1.7485126566446635e-51,-0.42905976069935103,2.463596729567429e-267,-0.15690887584419533,1.873406608890342e-51,0.13850088754119527,4.373975131038506e-27
14,6000,-0.26604446891082817,9.441138772509204e-98,-0.3845504467602833,1.00180376459798e-210,-0.20787432226491795,6.830600054244574e-97,0.0791122851493373,8.443706809187372e-10
15,6000,-0.1508911232878642,6.824468431406479e-32,-0.2893151022767876,4.979570787185487e-116,-0.1217006132532346,1.2419832673847656e-31,0.14583889214664844,7.0011408144878e-30
16,6000,-0.11408028745382978,7.738143497073796e-19,-0.2706963530157664,2.904570186939148e-101,-0.09131607251336922,6.437132487002063e-19,0.11968052796530053,1.379165994374473e-20
17,6000,-0.12234583539197602,1.8949259784656428e-21,-0.330961924811647,2.4679466034959536e-153,-0.09883017671379395,1.9374225992906377e-21,0.13749745680655434,1.0272848927789365e-26
18,6000,-0.13211653346914864,8.979860194824317e-25,-0.21658814777421104,1.2527042624882342e-64,-0.10600428278432913,1.0435298275765713e-24,0.1242412173277324,4.497006889574151e-22
19,6000,-0.13718363847735116,1.339972594611566e-26,-0.3226480649638369,2.124909443255566e-145,-0.11058916474138665,1.629102172192709e-26,0.13926571048959901,2.2718885826303227e-27
20,6000,-0.34666807205166705,5.145413447138247e-169,-0.5318112518173059,0.0,-0.2780132885069892,8.375980958776009e-164,0.10284349364921477,1.396765446959487e-15
21,6000,-0.17840476465651642,4.271602329363114e-44,-0.37768559356865394,9.596440830184586e-203,-0.1432146635424662,2.4664206461446506e-44,0.12056578014696691,7.168485208260693e-21
22,6000,-0.22682502127872475,7.245875458412657e-71,-0.3847927423182744,5.194660069845589e-211,-0.1817144434911572,4.462463179698732e-70,0.11249014985423803,2.343842835864129e-18
23,6000,-0.2749834426069108,1.4597832306794902e-104,-0.41124311967709504,1.237161480904159e-243,-0.2219083238653513,9.169039871658994e-103,0.12605434855491573,1.1124431359937061e-22
24,6000,-0.17533967820856713,1.2469179762764646e-42,-0.47150442123218844,0.0,-0.14053931009838172,5.649307617680556e-43,0.08605882058168003,2.4373579276872845e-11
25,6000,-0.14429048353343862,2.8017053258141273e-29,-0.3650938824743872,1.343596907799358e-188,-0.11701328212677267,2.835205785917739e-29,0.14437108151249867,2.60757509782522e-29
26,6000,-0.1335642508983703,2.7457485613869176e-25,-0.4793087425422542,0.0,-0.10873725071751374,2.809721254433682e-25,0.14850368330854732,6.21171968950623e-31
27,6000,-0.11377880707827141,9.558871564394112e-19,-0.36372124074642287,4.289384428260285e-187,-0.09164846247401076,5.4334139436570125e-19,0.10682747884190694,1.069103993387306e-16
28,6000,-0.1837412720221879,1.036248150222891e-46,-0.3498400239488651,2.7091003046989956e-172,-0.14922745060309575,2.2953749861339012e-46,0.1641919739542189,1.585899678033291e-37
29,6000,-0.0880933858469325,8.168834835491038e-12,-0.2779714993917214,6.75321898839743e-107,-0.07179109189757284,7.994987350323935e-12,0.19967549743227153,5.2269042476435585e-55
30,6000,-0.1743144963377551,3.801474931874793e-42,-0.38650599642505434,4.918609573554808e-213,-0.14040640271098317,3.8084374628154594e-42,0.11854875332156821,3.161362894183253e-20
31,6000,-0.055148097647201584,1.918971984133435e-05,-0.26313920466225726,1.3580780228547734e-95,-0.044687657645382635,1.926258434269023e-05,0.16374009748180732,2.5106926999135444e-37
32,6000,-0.06371912632571192,7.82613681991332e-07,-0.12968868055841243,6.36030830345092e-24,-0.05191892642621931,7.866864525357411e-07,0.29597667465137145,1.359646947425912e-121
33,6000,-0.11763029685975611,6.16167735730209e-20,-0.24889981660129717,2.089243581080563e-85,-0.09300237014253968,5.138928816843027e-20,0.08742148137942939,1.175286244372377e-11
34,6000,-0.05575216676369858,1.5531992129694064e-05,-0.27385320883016373,1.0959550584680543e-103,-0.04527244742823736,1.492590998581278e-05,0.18202121070789404,7.366792059094843e-46
35,6000,-0.1942449545185433,4.2539477263554546e-52,-0.44500531827320766,8.608026024481875e-290,-0.15741544548463574,8.22631061359871e-52,0.12905031891735308,1.057709599888516e-23
36,6000,-0.297225426605465,1.1850477716102825e-122,-0.4860480761455218,0.0,-0.23679196790304424,7.733858200361099e-121,0.08557784112870151,3.144659565899416e-11
37,6000,-0.16622273385367,1.979444838655968e-38,-0.42119123599093744,1.0858601051687816e-256,-0.13373304162653854,1.610233205899154e-38,0.10229533150508267,1.9742079354800118e-15
38,6000,-0.13763567745546726,9.136409138053877e-27,-0.29695834599511506,1.999062834925227e-122,-0.11076258591878274,7.958021966421751e-27,0.12264373444642081,1.5137520998396067e-21
39,6000,-0.10806520081062546,4.7171964245718475e-17,-0.46338809711098,3.2445153e-317,-0.08795218137317445,3.8195408268497895e-17,0.1465310135605939,3.748267298402032e-30
40,6000,-0.22334437059888113,1.0386412044111277e-68,-0.38824162101462467,4.2591865259403267e-215,-0.1816546028176396,5.239936343469036e-68,0.13564287619702986,4.895502394152582e-26
41,6000,-0.11731187336199385,7.756224408304458e-20,-0.3809572339050363,1.5935410709198745e-206,-0.09529881271523663,6.893871667309952e-20,0.15397438224438895,3.7325346732737744e-33
42,6000,-0.20441169434481773,1.2863784746297995e-57,-0.434692067524331,3.9510551528233005e-275,-0.16572631048554298,3.116087457854182e-57,0.14767648934045655,1.3238999789966618e-30
43,6000,-0.16127321375753126,3.012294607380747e-36,-0.30553388351665245,7.71519185471288e-130,-0.12873585137319732,2.896605937735034e-36,0.08372613109412069,8.278344451694474e-11
44,6000,-0.2756483217675933,4.439204896686537e-105,-0.4921041806615436,0.0,-0.22025916872267876,7.03834759496271e-104,0.09518667832791398,1.4863690798736786e-13
45,6000,-0.18927567457337063,1.6480157424332118e-49,-0.5020308205543015,0.0,-0.154171927750589,3.670775713584114e-49,0.15180549106299043,2.9009760536314923e-32
46,6000,-0.14118934056557375,4.302996353235653e-28,-0.3287191352925382,3.6102042882583615e-151,-0.113534832652242,5.34754118505467e-28,0.13057768371917075,3.119019537432995e-24
47,6000,-0.06598325445569783,3.128261011528642e-07,-0.26310143935014896,1.4480931493963218e-95,-0.05371316106733729,3.0477447944099827e-07,0.18284011258379124,2.9026695052193165e-46
48,6000,-0.08908953926156676,4.739827057155158e-12,-0.4169963833602667,3.938903081960108e-251,-0.07218059740586345,4.3423760865300856e-12,0.14111909931736172,4.574417967111161e-28
49,6000,-0.20547342110383418,3.277012225069384e-58,-0.4185360745867313,3.664074690007372e-253,-0.1669374620097933,1.471499023088868e-57,0.18467830741375985,3.5305947899216347e-47
50,6000,-0.23834410945111467,2.8864506412202975e-78,-0.5126452712395302,0.0,-0.19341184579411494,3.837577814136527e-78,0.10297854892155428,1.2822657611528214e-15
51,6000,-0.20485590117843147,7.266079014383923e-58,-0.39964354490616016,5.838881445303945e-229,-0.16611401129153253,2.07643302632247e-57,0.13922542826909307,2.3518557628802626e-27
52,6000,-0.12385737568912746,6.028526381849263e-22,-0.35181850220088706,2.3362704002316553e-174,-0.10004743427198978,6.084024011550019e-22,0.14348339323086587,5.737495016752805e-29
53,6000,-0.1951585094047197,1.3969477606389712e-52,-0.4206612602093923,5.527792492205396e-256,-0.1586471722643463,3.0375143903793294e-52,0.1384832192933555,4.440474606934684e-27
54,6000,-0.2257455240375119,3.410358765821175e-70,-0.3439156834999425,3.3545348568092397e-166,-0.17896791194450706,3.041733445248334e-70,0.09355544210695577,3.836907658173471e-13
55,6000,-0.13381207713946508,2.2386979166392037e-25,-0.2817623303788459,6.686111454720751e-110,-0.10833928163737726,2.5197006782685707e-25,0.1673753864855213,6.003756881739814e-39
56,6000,-0.20523137069456565,4.478829591919111e-58,-0.4298587687184333,1.9714042220685647e-268,-0.16740959966553404,1.8125420964364594e-57,0.17406800514390672,4.964842618441253e-42
57,6000,-0.21667189459708164,1.117111719031221e-64,-0.39763368477592387,1.777902085265135e-226,-0.1747984607114844,1.1159055879073869e-63,0.13506556491273536,7.9244085491736e-26
58,6000,-0.12918339604432677,9.515023698383094e-24,-0.41663716260302386,1.1689306410340905e-250,-0.10530975634897814,9.29033924197683e-24,0.1561068968865967,4.8266840742440885e-34
59,6000,-0.1648949871280868,7.739844589137134e-38,-0.26919489589437895,4.020377681547625e-100,-0.1322263492734191,1.0321977821137775e-37,0.11290171018951237,1.7620133710806395e-18
60,6000,-0.09712459964023239,4.7177157321755e-14,-0.3362576650709831,1.6105547357121137e-158,-0.07902139774686032,4.397351836994759e-14,0.16415135861781416,1.6528450377977977e-37
61,6000,-0.040817590193874737,0.0015648734653514857,-0.03322614697150886,0.010057076978936777,-0.03286254017494222,0.0015119496893373865,0.14925871301966895,3.1016145460038552e-31
62,6000,-0.2794081550891267,4.971677072671412e-108,-0.5646328611601091,0.0,-0.22689970168793658,3.1456514466208795e-106,0.11536675888159079,3.121060778953626e-19
63,6000,-0.1939199008486782,6.3136640181925035e-52,-0.30955995134835806,2.0860326889714174e-133,-0.15596985921542578,1.2876911649767186e-51,0.11825639097163543,3.911803777316261e-20
64,6000,-0.06730896468136656,1.803173575810212e-07,-0.18784168466524173,8.92363125803665e-49,-0.054729471723649024,1.7805352438523927e-07,0.2116247978951505,1.0210490932586043e-61
65,6000,-0.09975991621375228,9.551701305402426e-15,-0.29606159752429106,1.1522022552747121e-121,-0.08132129953822291,9.669096154159837e-15,0.23762992077380982,8.530808119269267e-78
66,6000,-0.05772180570162004,7.68018976525217e-06,-0.28873106431509865,1.5060963624244514e-115,-0.046715876819521884,7.40058159014903e-06,0.13785722751241797,7.569299217559434e-27
67,6000,-0.16204113641850068,1.3957569187008322e-36,-0.4048233180012068,1.931357959360034e-235,-0.1316583079459783,2.280156328358257e-36,0.15994556547540434,1.1287554898731083e-35
68,6000,-0.1952946677827866,1.1827514861697228e-52,-0.4086824621671937,2.4106909686568205e-240,-0.15845579513302865,3.3791348821555556e-52,0.1453554730065673,1.0811952398238962e-29
69,6000,-0.10990966356063636,1.369578276322569e-17,-0.2662561152825774,6.557842524844156e-98,-0.08945609599686884,1.3340628610238157e-17,0.18581359518541415,9.504174326539562e-48
70,6000,-0.20765263688412822,1.9323453197327535e-59,-0.3814590292119246,4.157029567973667e-207,-0.1666316505959749,6.3854354481708805e-59,0.1221993625837223,2.1157399051449745e-21
71,6000,-0.10173737183348112,2.80240138840431e-15,-0.442288291980671,7.030296911337281e-286,-0.0828685251435581,2.66158375921137e-15,0.18918141244916367,1.842319939419283e-49
72,6000,-0.12223012665473387,2.0673442949118008e-21,-0.3840358035580159,4.034679978223269e-210,-0.09972665856569357,2.402908546466724e-21,0.17386268657234047,6.199531164549939e-42
73,6000,-0.260061442061976,2.451357973897319e-93,-0.3919578710259893,1.4825453365961007e-219,-0.21152569718791567,7.110810829771949e-91,0.18319753058024613,1.9304336613415797e-46
74,6000,-0.1494348679133489,2.6362674213073634e-31,-0.5110994023663147,0.0,-0.12117591217545474,2.181563433365256e-31,0.12783080995781476,2.775053535050716e-23
75,6000,-0.14811941580772928,8.83316091840178e-31,-0.5074032925584908,0.0,-0.12056021889977321,1.00379716493665e-30,0.13932100581781792,2.166490784414013e-27
76,6000,-0.23277042227029365,1.2346897531858203e-74,-0.4696106893591232,0.0,-0.18914377166271332,8.331565736211534e-74,0.1358656822346534,4.0628193075280356e-26
77,6000,-0.28913157909091414,7.052678122334968e-116,-0.4434453624728178,1.5322920416083636e-287,-0.23005524766702645,9.277298916530194e-115,0.09262708642529355,6.535032840182105e-13
78,6000,-0.117365556545978,7.461370236175568e-20,-0.33612694466360293,2.1687501082974846e-158,-0.09380811314472164,7.098389121518513e-20,0.10961991403043767,1.6655621079701526e-17
79,6000,-0.2352129423101475,3.251156606449822e-76,-0.4137121601023903,7.816989637448491e-247,-0.19060659997256676,4.264605519662227e-75,0.14351958290324768,5.556510305130924e-29
80,6000,-0.15215034312638362,2.098080375283712e-32,-0.3991820637515306,2.178235892472275e-228,-0.12357813101647114,2.69788025757318e-32,0.14606152984578288,5.728361572002355e-30
81,6000,-0.07927859199157897,7.782860384748893e-10,-0.1044684393451249,4.954378919625454e-16,-0.06025076663030129,6.588794647735917e-10,0.049546260268403405,0.00012333777168815674
82,6000,-0.10953355258228104,1.7654054902907987e-17,-0.36568366033834754,3.0180454860721607e-189,-0.08928433799249838,1.7295240277158658e-17,0.2053765390834032,3.7137106695223995e-58
83,6000,-0.16849528141407086,1.8682701964165336e-39,-0.4115252061089947,5.348864449076857e-244,-0.13724178444994953,2.709179944993761e-39,0.1877389046592654,1.0066820799906655e-48
84,6000,-0.16846296025250695,1.932507870332922e-39,-0.3956938146119834,4.2727075930392386e-224,-0.137001009800953,3.251730953577878e-39,0.16088000297354113,4.459906190000811e-36
85,6000,-0.05293760739538348,4.0861849530126225e-05,-0.22494892543279646,1.0640211542258395e-69,-0.042839582154613386,4.034482521519804e-05,0.17383694071398012,6.374485531526906e-42
86,6000,-0.20857647085682499,5.763301428151726e-60,-0.4349996075812551,1.4683008031445347e-275,-0.16999545762571594,4.623961708999871e-59,0.21855717847662284,8.366325875018751e-66
87,6000,-0.12872556218482276,1.3687227416864322e-23,-0.25216055864348813,1.1062988866030598e-87,-0.10470274243821627,1.512801720917588e-23,0.08102039684571655,3.281931524367467e-10
88,6000,-0.09004013667502808,2.803835664985343e-12,-0.12958170398520572,6.927424026795818e-24,-0.0732214051730051,2.880549859387038e-12,0.24777575432318047,1.2499322885438655e-84
89,6000,-0.1713009909140932,9.676583552518755e-41,-0.3511197120671383,1.2569720473355674e-173,-0.1394356706302437,1.988555457684337e-40,0.19564856069402575,7.669353718731312e-53
90,6000,-0.17789754215534526,7.497468754990797e-44,-0.48772370484571825,0.0,-0.14341447636133073,2.840007015592249e-44,0.10307205213373712,1.2084611750488793e-15
91,6000,-0.19440902391931528,3.4843116595704015e-52,-0.45504088533105114,1.4883496824901795e-304,-0.15825642927999994,9.905806693508745e-52,0.14510824357723254,1.349515448309119e-29
92,6000,-0.13937860888631898,2.0618485210553592e-27,-0.4467131604945369,2.868035273748497e-292,-0.11382265349454794,2.2975220980931833e-27,0.21414618414091685,3.462097006068837e-63
93,6000,-0.26584277693093966,1.3357025448707295e-97,-0.4743438737929353,0.0,-0.21520528519777618,2.1952360943489004e-96,0.11388451511548915,8.876813122457423e-19
94,6000,-0.22541813691601054,5.446521796500131e-70,-0.46069530786413937,4.30865688385e-313,-0.1833290133437546,1.3653392123790335e-69,0.11724689265305362,8.128567250320206e-20
95,6000,-0.13838317990804647,4.8363472080589594e-27,-0.3281904110649194,1.1622654293729649e-150,-0.11291807876482964,5.675384398999169e-27,0.21627631061315986,1.9183101505401674e-64
96,6000,-0.09238825490901319,7.488205795648458e-13,-0.3662644354691153,6.914260610353952e-190,-0.07536861712021566,7.289406766355529e-13,0.19755213038197483,7.354101299471188e-54
97,6000,-0.10076834520023996,5.126168563550571e-15,-0.30798704514655834,5.247864833816344e-132,-0.08113263984429564,4.8696532939452385e-15,0.1385237939041545,4.2892282720641445e-27
98,6000,-0.2981797015835224,1.8212047830127287e-123,-0.5127719116526779,0.0,-0.24159422940536943,2.240186004042865e-120,0.116460169281625,1.431059510314715e-19
99,6000,-0.07510368668293876,5.727645690098391e-09,-0.28532113214059296,9.149876199923177e-113,-0.06111052617556427,5.270193437374152e-09,0.1650395530038901,6.675671769263702e-38
100,6000,-0.2252676992378282,6.752079554891471e-70,-0.4529473060434952,1.9651122544473365e-301,-0.18325400209123732,9.865423321388118e-69,0.16631995782118103,1.7905461732302305e-38
