query_idx,gt_score,n_tied_at_gt,n_above_gt,n_docs,tier_precision,gt_uniquely_top
1,1.0,7,0,6000,0.14285714285714285,0
2,1.0,18,0,6000,0.05555555555555555,0
3,1.0,2,0,6000,0.5,0
4,1.0,9,0,6000,0.1111111111111111,0
5,1.0,34,0,6000,0.029411764705882353,0
6,1.0,12,0,6000,0.08333333333333333,0
7,1.0,8,0,6000,0.125,0
8,1.0,32,0,6000,0.03125,0
9,1.0,14,0,6000,0.07142857142857142,0
10,1.0,7,0,6000,0.14285714285714285,0
11,1.0,4,0,6000,0.25,0
12,1.0,14,0,6000,0.07142857142857142,0
13,1.0,13,0,6000,0.07692307692307693,0
14,1.0,7,0,6000,0.14285714285714285,0
15,1.0,4,0,6000,0.25,0
16,1.0,6,0,6000,0.16666666666666666,0
17,1.0,14,0,6000,0.07142857142857142,0
18,1.0,2,0,6000,0.5,0
19,1.0,8,0,6000,0.125,0
20,1.0,7,0,6000,0.14285714285714285,0
21,1.0,4,0,6000,0.25,0
22,1.0,11,0,6000,0.09090909090909091,0
23,1.0,1,0,6000,1.0,1
24,1.0,52,0,6000,0.019230769230769232,0
25,1.0,5,0,6000,0.2,0
26,1.0,25,0,6000,0.04,0
27,1.0,30,0,6000,0.03333333333333333,0
28,1.0,8,0,6000,0.125,0
29,1.0,11,0,6000,0.09090909090909091,0
30,1.0,12,0,6000,0.08333333333333333,0
31,1.0,17,0,6000,0.058823529411764705,0
32,1.0,5,0,6000,0.2,0
33,1.0,7,0,6000,0.14285714285714285,0
34,1.0,7,0,6000,0.14285714285714285,0
35,1.0,19,0,6000,0.05263157894736842,0
36,1.0,14,0,6000,0.07142857142857142,0
37,1.0,29,0,6000,0.034482758620689655,0
38,1.0,9,0,6000,0.1111111111111111,0
39,1.0,19,0,6000,0.05263157894736842,0
40,1.0,20,0,6000,0.05,0
41,1.0,14,0,6000,0.07142857142857142,0
42,1.0,5,0,6000,0.2,0
43,0.8,9,5,6000,0.1111111111111111,0
44,1.0,22,0,6000,0.045454545454545456,0
45,1.0,18,0,6000,0.05555555555555555,0
46,1.0,7,0,6000,0.14285714285714285,0
47,1.0,16,0,6000,0.0625,0
48,1.0,16,0,6000,0.0625,0
49,1.0,1,0,6000,1.0,1
50,1.0,29,0,6000,0.034482758620689655,0
51,1.0,10,0,6000,0.1,0
52,1.0,12,0,6000,0.08333333333333333,0
53,1.0,26,0,6000,0.038461538461538464,0
54,1.0,5,0,6000,0.2,0
55,1.0,4,0,6000,0.25,0
56,1.0,12,0,6000,0.08333333333333333,0
57,1.0,13,0,6000,0.07692307692307693,0
58,1.0,25,0,6000,0.04,0
59,1.0,11,0,6000,0.09090909090909091,0
60,1.0,15,0,6000,0.06666666666666667,0
61,1.0,5,0,6000,0.2,0
62,1.0,18,0,6000,0.05555555555555555,0
63,1.0,14,0,6000,0.07142857142857142,0
64,1.0,6,0,6000,0.16666666666666666,0
65,1.0,2,0,6000,0.5,0
66,1.0,24,0,6000,0.041666666666666664,0
67,1.0,12,0,6000,0.08333333333333333,0
68,1.0,8,0,6000,0.125,0
69,1.0,12,0,6000,0.08333333333333333,0
70,1.0,8,0,6000,0.125,0
71,1.0,8,0,6000,0.125,0
72,1.0,24,0,6000,0.041666666666666664,0
73,1.0,5,0,6000,0.2,0
74,1.0,15,0,6000,0.06666666666666667,0
75,1.0,26,0,6000,0.038461538461538464,0
76,1.0,9,0,6000,0.1111111111111111,0
77,1.0,9,0,6000,0.1111111111111111,0
78,1.0,15,0,6000,0.06666666666666667,0
79,1.0,2,0,6000,0.5,0
80,1.0,16,0,6000,0.0625,0
81,1.0,16,0,6000,0.0625,0
82,1.0,7,0,6000,0.14285714285714285,0
83,1.0,2,0,6000,0.5,0
84,1.0,16,0,6000,0.0625,0
85,1.0,3,0,6000,0.3333333333333333,0
86,1.0,3,0,6000,0.3333333333333333,0
87,0.6,39,27,6000,0.02564102564102564,0
88,1.0,1,0,6000,1.0,1
89,1.0,5,0,6000,0.2,0
90,1.0,18,0,6000,0.05555555555555555,0
91,1.0,13,0,6000,0.07692307692307693,0
92,1.0,6,0,6000,0.16666666666666666,0
93,1.0,15,0,6000,0.06666666666666667,0
94,1.0,30,0,6000,0.03333333333333333,0
95,1.0,7,0,6000,0.14285714285714285,0
96,1.0,15,0,6000,0.06666666666666667,0
97,1.0,7,0,6000,0.14285714285714285,0
98,1.0,6,0,6000,0.16666666666666666,0
99,1.0,19,0,6000,0.05263157894736842,0
100,1.0,5,0,6000,0.2,0
101,1.0,14,0,6000,0.07142857142857142,0
102,1.0,2,0,6000,0.5,0
103,1.0,20,0,6000,0.05,0
104,1.0,28,0,6000,0.03571428571428571,0
105,1.0,7,0,4140,0.14285714285714285,0
106,1.0,18,0,4000,0.05555555555555555,0
107,0.1,3720,280,4000,0.00026881720430107527,0
108,1.0,3,0,4000,0.3333333333333333,0
109,1.0,12,0,4000,0.08333333333333333,0
110,1.0,4,0,4000,0.25,0
111,1.0,1,0,4000,1.0,1
112,1.0,9,0,4000,0.1111111111111111,0
113,1.0,15,0,4000,0.06666666666666667,0
114,1.0,5,0,4000,0.2,0
115,1.0,11,0,4000,0.09090909090909091,0
116,1.0,3,0,4000,0.3333333333333333,0
117,1.0,4,0,4000,0.25,0
118,1.0,10,0,4000,0.1,0
119,1.0,2,0,4000,0.5,0
120,1.0,18,0,4000,0.05555555555555555,0
121,1.0,10,0,4000,0.1,0
122,1.0,9,0,4000,0.1111111111111111,0
123,1.0,15,0,4000,0.06666666666666667,0
124,1.0,19,0,4000,0.05263157894736842,0
125,1.0,9,0,4000,0.1111111111111111,0
126,1.0,4,0,4000,0.25,0
127,1.0,7,0,4000,0.14285714285714285,0
128,1.0,17,0,4000,0.058823529411764705,0
129,1.0,2,0,4000,0.5,0
130,1.0,13,0,4000,0.07692307692307693,0
131,1.0,14,0,4000,0.07142857142857142,0
132,1.0,11,0,4000,0.09090909090909091,0
133,1.0,3,0,4000,0.3333333333333333,0
134,1.0,10,0,4000,0.1,0
135,1.0,30,0,4000,0.03333333333333333,0
136,1.0,8,0,4000,0.125,0
137,1.0,8,0,4000,0.125,0
138,1.0,4,0,4000,0.25,0
139,1.0,13,0,4000,0.07692307692307693,0
140,0.8,10,8,4000,0.1,0
141,1.0,8,0,4000,0.125,0
142,1.0,8,0,4000,0.125,0
143,1.0,2,0,4000,0.5,0
144,1.0,6,0,4000,0.16666666666666666,0
145,1.0,8,0,4000,0.125,0
146,1.0,23,0,4000,0.043478260869565216,0
147,1.0,3,0,4000,0.3333333333333333,0
148,1.0,14,0,4000,0.07142857142857142,0
149,1.0,7,0,4000,0.14285714285714285,0
150,1.0,23,0,4000,0.043478260869565216,0
151,1.0,10,0,4000,0.1,0
152,1.0,4,0,4000,0.25,0
153,1.0,23,0,4000,0.043478260869565216,0
154,1.0,4,0,4000,0.25,0
155,1.0,9,0,4000,0.1111111111111111,0
156,1.0,11,0,4000,0.09090909090909091,0
157,1.0,9,0,4000,0.1111111111111111,0
158,1.0,18,0,4000,0.05555555555555555,0
159,1.0,12,0,4000,0.08333333333333333,0
160,1.0,8,0,4000,0.125,0
161,1.0,11,0,4000,0.09090909090909091,0
162,1.0,2,0,4000,0.5,0
163,1.0,4,0,4000,0.25,0
164,1.0,22,0,4000,0.045454545454545456,0
165,1.0,5,0,4000,0.2,0
166,1.0,5,0,4000,0.2,0
167,1.0,9,0,4000,0.1111111111111111,0
168,1.0,11,0,4000,0.09090909090909091,0
169,1.0,2,0,4000,0.5,0
170,1.0,14,0,4000,0.07142857142857142,0
171,1.0,16,0,4000,0.0625,0
172,1.0,15,0,4000,0.06666666666666667,0
173,1.0,6,0,4000,0.16666666666666666,0
174,1.0,9,0,4000,0.1111111111111111,0
175,1.0,13,0,4000,0.07692307692307693,0
176,1.0,6,0,4000,0.16666666666666666,0
177,1.0,13,0,4000,0.07692307692307693,0
178,1.0,5,0,4000,0.2,0
179,1.0,7,0,4000,0.14285714285714285,0
180,1.0,1,0,4000,1.0,1
181,1.0,6,0,4000,0.16666666666666666,0
182,1.0,3,0,4000,0.3333333333333333,0
183,1.0,2,0,4000,0.5,0
184,1.0,4,0,4000,0.25,0
185,1.0,14,0,4000,0.07142857142857142,0
186,1.0,5,0,4000,0.2,0
187,1.0,1,0,4000,1.0,1
188,1.0,2,0,4000,0.5,0
189,1.0,4,0,4000,0.25,0
190,1.0,40,0,4000,0.025,0
191,1.0,8,0,4000,0.125,0
192,1.0,15,0,4000,0.06666666666666667,0
193,1.0,15,0,4000,0.06666666666666667,0
194,1.0,15,0,4000,0.06666666666666667,0
195,1.0,9,0,4000,0.1111111111111111,0
196,1.0,3,0,4000,0.3333333333333333,0
197,1.0,12,0,4000,0.08333333333333333,0
198,1.0,5,0,4000,0.2,0
199,1.0,13,0,4000,0.07692307692307693,0
