query_idx,K,jaccard,intersection
102,10,0.25,4
102,20,0.3333333333333333,10
102,50,0.26582278481012656,21
102,100,0.2345679012345679,38
103,5,0.42857142857142855,3
103,10,0.3333333333333333,5
103,20,0.3333333333333333,10
103,50,0.3698630136986301,27
103,100,0.26582278481012656,42
104,5,0.1111111111111111,1
104,10,0.1111111111111111,2
104,20,0.05263157894736842,2
104,50,0.26582278481012656,21
104,100,0.3888888888888889,56
105,5,0.25,2
105,10,0.42857142857142855,6
105,20,0.3793103448275862,11
105,50,0.2987012987012987,23
105,100,0.26582278481012656,42
106,5,0.0,0
106,10,0.3333333333333333,5
106,20,0.3333333333333333,10
106,50,0.3157894736842105,24
106,100,0.2422360248447205,39
107,5,0.0,0
107,10,0.0,0
107,20,0.02564102564102564,1
107,50,0.010101010101010102,1
107,100,0.010101010101010102,2
108,5,0.1111111111111111,1
108,10,0.25,4
108,20,0.3333333333333333,10
108,50,0.2345679012345679,19
108,100,0.14285714285714285,25
109,5,0.6666666666666666,4
109,10,0.42857142857142855,6
109,20,0.8181818181818182,18
109,50,0.35135135135135137,26
109,100,0.28205128205128205,44
110,5,0.25,2
110,10,0.42857142857142855,6
110,20,0.3333333333333333,10
110,50,0.26582278481012656,21
110,100,0.1695906432748538,29
111,5,0.25,2
111,10,0.17647058823529413,3
111,20,0.3333333333333333,10
111,50,0.17647058823529413,15
111,100,0.21212121212121213,35
112,5,0.1111111111111111,1
112,10,0.3333333333333333,5
112,20,0.42857142857142855,12
112,50,0.26582278481012656,21
112,100,0.14285714285714285,25
113,5,0.42857142857142855,3
113,10,0.42857142857142855,6
113,20,0.7391304347826086,17
113,50,0.3157894736842105,24
113,100,0.15606936416184972,27
114,5,0.6666666666666666,4
114,10,0.3333333333333333,5
114,20,0.2903225806451613,9
114,50,0.19047619047619047,16
114,100,0.21951219512195122,36
115,5,0.1111111111111111,1
115,10,0.17647058823529413,3
115,20,0.5384615384615384,14
115,50,0.28205128205128205,22
115,100,0.17647058823529413,30
116,5,0.42857142857142855,3
116,10,0.25,4
116,20,0.42857142857142855,12
116,50,0.42857142857142855,30
116,100,0.26582278481012656,42
117,5,0.42857142857142855,3
117,10,0.25,4
117,20,0.25,8
117,50,0.26582278481012656,21
117,100,0.26582278481012656,42
118,5,0.25,2
118,10,0.1111111111111111,2
118,20,0.14285714285714285,5
118,50,0.21951219512195122,18
118,100,0.25,40
119,5,0.42857142857142855,3
119,10,0.25,4
119,20,0.25,8
119,50,0.20481927710843373,17
119,100,0.11731843575418995,21
120,5,0.42857142857142855,3
120,10,0.42857142857142855,6
120,20,0.6666666666666666,16
120,50,0.47058823529411764,32
120,100,0.30718954248366015,47
121,5,0.6666666666666666,4
121,10,0.6666666666666666,8
121,20,0.6,15
121,50,0.3157894736842105,24
121,100,0.16279069767441862,28
122,5,0.42857142857142855,3
122,10,0.8181818181818182,9
122,20,0.6,15
122,50,0.3333333333333333,25
122,100,0.21951219512195122,36
123,5,0.1111111111111111,1
123,10,0.17647058823529413,3
123,20,0.2903225806451613,9
123,50,0.47058823529411764,32
123,100,0.2345679012345679,38
124,5,0.42857142857142855,3
124,10,0.5384615384615384,7
124,20,0.6,15
124,50,0.3333333333333333,25
124,100,0.2345679012345679,38
125,5,0.42857142857142855,3
125,10,0.5384615384615384,7
125,20,0.3333333333333333,10
125,50,0.2987012987012987,23
125,100,0.20481927710843373,34
126,5,0.1111111111111111,1
126,10,0.3333333333333333,5
126,20,0.42857142857142855,12
126,50,0.3333333333333333,25
126,100,0.3422818791946309,51
127,5,0.42857142857142855,3
127,10,0.42857142857142855,6
127,20,0.42857142857142855,12
127,50,0.2345679012345679,19
127,100,0.14942528735632185,26
128,5,0.42857142857142855,3
128,10,0.3333333333333333,5
128,20,0.48148148148148145,13
128,50,0.4925373134328358,33
128,100,0.3157894736842105,48
129,5,0.42857142857142855,3
129,10,0.42857142857142855,6
129,20,0.3793103448275862,11
129,50,0.14942528735632185,13
129,100,0.12359550561797752,22
130,5,0.25,2
130,10,0.3333333333333333,5
130,20,0.3793103448275862,11
130,50,0.25,20
130,100,0.4925373134328358,66
131,5,0.25,2
131,10,0.17647058823529413,3
131,20,0.25,8
131,50,0.26582278481012656,21
131,100,0.25,40
132,5,0.25,2
132,10,0.5384615384615384,7
132,20,0.6,15
132,50,0.35135135135135137,26
132,100,0.2903225806451613,45
133,5,0.1111111111111111,1
133,10,0.3333333333333333,5
133,20,0.3793103448275862,11
133,50,0.21951219512195122,18
133,100,0.12359550561797752,22
134,5,0.25,2
134,10,0.17647058823529413,3
134,20,0.21212121212121213,7
134,50,0.28205128205128205,22
134,100,0.4084507042253521,58
135,5,0.1111111111111111,1
135,10,0.1111111111111111,2
135,20,0.21212121212121213,7
135,50,0.2345679012345679,19
135,100,0.2903225806451613,45
136,5,0.42857142857142855,3
136,10,0.25,4
136,20,0.2903225806451613,9
136,50,0.12359550561797752,11
136,100,0.16279069767441862,28
137,5,0.42857142857142855,3
137,10,0.5384615384615384,7
137,20,0.7391304347826086,17
137,50,0.2345679012345679,19
137,100,0.13636363636363635,24
138,5,0.25,2
138,10,0.42857142857142855,6
138,20,0.2903225806451613,9
138,50,0.3888888888888889,28
138,100,0.2578616352201258,41
139,5,0.6666666666666666,4
139,10,0.6666666666666666,8
139,20,0.5384615384615384,14
139,50,0.25,20
139,100,0.19047619047619047,32
140,5,0.25,2
140,10,0.3333333333333333,5
140,20,0.48148148148148145,13
140,50,0.4492753623188406,31
140,100,0.2903225806451613,45
141,5,0.6666666666666666,4
141,10,0.42857142857142855,6
141,20,0.6,15
141,50,0.26582278481012656,21
141,100,0.19047619047619047,32
142,5,0.42857142857142855,3
142,10,0.42857142857142855,6
142,20,0.6666666666666666,16
142,50,0.25,20
142,100,0.16279069767441862,28
143,5,0.25,2
143,10,0.25,4
143,20,0.3793103448275862,11
143,50,0.2345679012345679,19
143,100,0.12994350282485875,23
144,5,0.42857142857142855,3
144,10,0.5384615384615384,7
144,20,0.6666666666666666,16
144,50,0.2987012987012987,23
144,100,0.20481927710843373,34
145,5,0.42857142857142855,3
145,10,0.42857142857142855,6
145,20,0.3793103448275862,11
145,50,0.3888888888888889,28
145,100,0.2345679012345679,38
146,5,0.42857142857142855,3
146,10,0.42857142857142855,6
146,20,0.6666666666666666,16
146,50,0.3157894736842105,24
146,100,0.20481927710843373,34
147,5,0.25,2
147,10,0.3333333333333333,5
147,20,0.3793103448275862,11
147,50,0.20481927710843373,17
147,100,0.22699386503067484,37
148,5,0.42857142857142855,3
148,10,0.3333333333333333,5
148,20,0.9047619047619048,19
148,50,0.3333333333333333,25
148,100,0.16279069767441862,28
149,5,0.42857142857142855,3
149,10,0.3333333333333333,5
149,20,0.3333333333333333,10
149,50,0.2987012987012987,23
149,100,0.30718954248366015,47
150,5,0.0,0
150,10,0.25,4
150,20,0.3333333333333333,10
150,50,0.6949152542372882,41
150,100,0.43884892086330934,61
151,5,0.6666666666666666,4
151,10,0.3333333333333333,5
151,20,0.25,8
151,50,0.2987012987012987,23
151,100,0.25,40
152,5,0.1111111111111111,1
152,10,0.17647058823529413,3
152,20,0.21212121212121213,7
152,50,0.17647058823529413,15
152,100,0.12994350282485875,23
153,5,0.42857142857142855,3
153,10,0.5384615384615384,7
153,20,0.5384615384615384,14
153,50,0.5873015873015873,37
153,100,0.42857142857142855,60
154,5,0.1111111111111111,1
154,10,0.25,4
154,20,0.5384615384615384,14
154,50,0.2987012987012987,23
154,100,0.3422818791946309,51
155,5,0.42857142857142855,3
155,10,0.5384615384615384,7
155,20,0.3793103448275862,11
155,50,0.3333333333333333,25
155,100,0.2903225806451613,45
156,5,0.6666666666666666,4
156,10,0.42857142857142855,6
156,20,0.6,15
156,50,0.3333333333333333,25
156,100,0.2345679012345679,38
157,5,0.25,2
157,10,0.3333333333333333,5
157,20,0.3333333333333333,10
157,50,0.2345679012345679,19
157,100,0.22699386503067484,37
158,5,0.1111111111111111,1
158,10,0.6666666666666666,8
158,20,0.42857142857142855,12
158,50,0.3698630136986301,27
158,100,0.3157894736842105,48
159,5,0.42857142857142855,3
159,10,0.5384615384615384,7
159,20,0.6,15
159,50,0.4084507042253521,29
159,100,0.28205128205128205,44
160,5,0.6666666666666666,4
160,10,0.5384615384615384,7
160,20,0.5384615384615384,14
160,50,0.3157894736842105,24
160,100,0.1695906432748538,29
161,5,0.42857142857142855,3
161,10,0.42857142857142855,6
161,20,0.6666666666666666,16
161,50,0.2987012987012987,23
161,100,0.21951219512195122,36
162,5,0.42857142857142855,3
162,10,0.6666666666666666,8
162,20,0.6666666666666666,16
162,50,0.20481927710843373,17
162,100,0.12359550561797752,22
163,5,0.25,2
163,10,0.25,4
163,20,0.42857142857142855,12
163,50,0.21951219512195122,18
163,100,0.17647058823529413,30
164,5,0.42857142857142855,3
164,10,0.25,4
164,20,0.3793103448275862,11
164,50,0.6129032258064516,38
164,100,0.35135135135135137,52
165,5,0.1111111111111111,1
165,10,0.1111111111111111,2
165,20,0.14285714285714285,5
165,50,0.1111111111111111,10
165,100,0.21951219512195122,36
166,5,0.1111111111111111,1
166,10,0.17647058823529413,3
166,20,0.2903225806451613,9
166,50,0.2987012987012987,23
166,100,0.15606936416184972,27
167,5,0.25,2
167,10,0.5384615384615384,7
167,20,0.6,15
167,50,0.28205128205128205,22
167,100,0.19047619047619047,32
168,5,0.42857142857142855,3
168,10,0.3333333333333333,5
168,20,0.21212121212121213,7
168,50,0.19047619047619047,16
168,100,0.12994350282485875,23
169,5,0.25,2
169,10,0.42857142857142855,6
169,20,0.48148148148148145,13
169,50,0.26582278481012656,21
169,100,0.14285714285714285,25
170,5,0.42857142857142855,3
170,10,0.25,4
170,20,0.25,8
170,50,0.28205128205128205,22
170,100,0.21951219512195122,36
171,5,0.25,2
171,10,0.5384615384615384,7
171,20,0.6666666666666666,16
171,50,0.42857142857142855,30
171,100,0.2987012987012987,46
172,5,0.42857142857142855,3
172,10,0.6666666666666666,8
172,20,0.6666666666666666,16
172,50,0.3157894736842105,24
172,100,0.17647058823529413,30
173,5,0.42857142857142855,3
173,10,0.5384615384615384,7
173,20,0.42857142857142855,12
173,50,0.26582278481012656,21
173,100,0.20481927710843373,34
174,5,0.42857142857142855,3
174,10,0.42857142857142855,6
174,20,0.6666666666666666,16
174,50,0.3157894736842105,24
174,100,0.22699386503067484,37
175,5,0.0,0
175,10,0.17647058823529413,3
175,20,0.25,8
175,50,0.3333333333333333,25
175,100,0.3422818791946309,51
176,5,0.42857142857142855,3
176,10,0.8181818181818182,9
176,20,0.42857142857142855,12
176,50,0.47058823529411764,32
176,100,0.26582278481012656,42
177,5,0.42857142857142855,3
177,10,0.42857142857142855,6
177,20,0.6,15
177,50,0.3333333333333333,25
177,100,0.26582278481012656,42
178,5,0.1111111111111111,1
178,10,0.25,4
178,20,0.2903225806451613,9
178,50,0.3888888888888889,28
178,100,0.2578616352201258,41
179,5,0.25,2
179,10,0.3333333333333333,5
179,20,0.2903225806451613,9
179,50,0.3698630136986301,27
179,100,0.2987012987012987,46
180,5,0.1111111111111111,1
180,10,0.42857142857142855,6
180,20,0.6,15
180,50,0.21951219512195122,18
180,100,0.12994350282485875,23
181,5,0.42857142857142855,3
181,10,0.42857142857142855,6
181,20,0.3793103448275862,11
181,50,0.20481927710843373,17
181,100,0.13636363636363635,24
182,5,0.1111111111111111,1
182,10,0.1111111111111111,2
182,20,0.14285714285714285,5
182,50,0.13636363636363635,12
182,100,0.12994350282485875,23
183,5,0.6666666666666666,4
183,10,0.3333333333333333,5
183,20,0.21212121212121213,7
183,50,0.08695652173913043,8
183,100,0.1111111111111111,20
184,5,0.25,2
184,10,0.17647058823529413,3
184,20,0.42857142857142855,12
184,50,0.3888888888888889,28
184,100,0.3333333333333333,50
185,5,0.42857142857142855,3
185,10,0.5384615384615384,7
185,20,0.6,15
185,50,0.3888888888888889,28
185,100,0.22699386503067484,37
186,5,0.25,2
186,10,0.3333333333333333,5
186,20,0.5384615384615384,14
186,50,0.3698630136986301,27
186,100,0.27388535031847133,43
187,5,0.1111111111111111,1
187,10,0.05263157894736842,1
187,20,0.21212121212121213,7
187,50,0.12359550561797752,11
187,100,0.11731843575418995,21
188,5,0.1111111111111111,1
188,10,0.17647058823529413,3
188,20,0.21212121212121213,7
188,50,0.20481927710843373,17
188,100,0.11731843575418995,21
189,5,0.25,2
189,10,0.17647058823529413,3
189,20,0.21212121212121213,7
189,50,0.26582278481012656,21
189,100,0.1834319526627219,31
190,5,0.1111111111111111,1
190,10,0.25,4
190,20,0.3333333333333333,10
190,50,0.5873015873015873,37
190,100,0.35135135135135137,52
191,5,0.25,2
191,10,0.3333333333333333,5
191,20,0.48148148148148145,13
191,50,0.2345679012345679,19
191,100,0.28205128205128205,44
192,5,0.25,2
192,10,0.42857142857142855,6
192,20,0.9047619047619048,19
192,50,0.28205128205128205,22
192,100,0.19760479041916168,33
193,5,0.1111111111111111,1
193,10,0.6666666666666666,8
193,20,0.5384615384615384,14
193,50,0.42857142857142855,30
193,100,0.25,40
194,5,0.25,2
194,10,0.5384615384615384,7
194,20,0.42857142857142855,12
194,50,0.3333333333333333,25
194,100,0.27388535031847133,43
195,5,0.25,2
195,10,0.42857142857142855,6
195,20,0.6666666666666666,16
195,50,0.28205128205128205,22
195,100,0.14942528735632185,26
196,5,0.42857142857142855,3
196,10,0.25,4
196,20,0.3793103448275862,11
196,50,0.2987012987012987,23
196,100,0.28205128205128205,44
197,5,0.1111111111111111,1
197,10,0.17647058823529413,3
197,20,0.3333333333333333,10
197,50,0.3698630136986301,27
197,100,0.3888888888888889,56
198,5,0.25,2
198,10,0.25,4
198,20,0.2903225806451613,9
198,50,0.2345679012345679,19
198,100,0.19760479041916168,33
199,5,0.0,0
199,10,0.42857142857142855,6
199,20,0.6,15
199,50,0.35135135135135137,26
199,100,0.2987012987012987,46
